group,monitor,aqs_site_id,county,row_type,row,health_effects,period,period_start,period_end,value_shown,statistic,mean_ppb,screening_level_ppb,n_samples,n_weeks,coverage,coverage_flag,design_value,naaqs,dv_method,data_cutoff
Cancer Risk,Channelview Drive Water Tower [56] POC 2,48-201-0026,Harris,pollutant,Benzene,Cancer,2025,2025-01-01,2025-12-31,7.1853,mean ÷ screening level,0.80969,0.11269,6863.0,,0.78345,,,,,2026-09-12
Cancer Risk,Channelview Drive Water Tower [56] POC 2,48-201-0026,Harris,pollutant,Benzene,Cancer,2026 YTD,2026-01-01,2026-09-12,5.8852,mean ÷ screening level,0.66318,0.11269,5272.0,,0.86144,,,,,2026-09-12
Cancer Risk,Channelview Drive Water Tower [56] POC 2,48-201-0026,Harris,pollutant,Benzene,Cancer,Last 365 Days,2025-09-12,2026-09-12,6.1029,mean ÷ screening level,0.68772,0.11269,7452.0,,0.84836,,,,,2026-09-12
Cancer Risk,Channelview Drive Water Tower [56] POC 2,48-201-0026,Harris,pollutant,Benzene,Cancer,Sep 2026,2026-09-01,2026-09-30,6.9206,mean of weekly means ÷ screening level,0.77987,0.11269,149.0,1.0,0.8869,,,,,2026-09-12
Cancer Risk,Channelview Drive Water Tower [56] POC 2,48-201-0026,Harris,total,Total (Combined),,2023,2023-01-01,2023-12-31,12.0338,sum of pollutant ratios,,,,,0.83801,,,,,2026-09-12
Cancer Risk,Channelview Drive Water Tower [56] POC 2,48-201-0026,Harris,total,Total (Combined),,2024,2024-01-01,2024-12-31,14.1882,sum of pollutant ratios,,,,,0.78506,,,,,2026-09-12
Cancer Risk,Channelview Drive Water Tower [56] POC 2,48-201-0026,Harris,total,Total (Combined),,2025,2025-01-01,2025-12-31,13.5447,sum of pollutant ratios,,,,,0.78345,,,,,2026-09-12
Cancer Risk,Channelview Drive Water Tower [56] POC 2,48-201-0026,Harris,total,Total (Combined),,2026 YTD,2026-01-01,2026-09-12,8.4809,sum of pollutant ratios,,,,,0.86144,,,,,2026-09-12
Cancer Risk,Channelview Drive Water Tower [56] POC 2,48-201-0026,Harris,total,Total (Combined),,Last 365 Days,2025-09-12,2026-09-12,9.2276,sum of pollutant ratios,,,,,0.84836,,,,,2026-09-12
Cancer Risk,Channelview Drive Water Tower [56] POC 2,48-201-0026,Harris,total,Total (Combined),,Sep 2026,2026-09-01,2026-09-30,8.3817,sum of pollutant ratios,,,,,0.8869,,,,,2026-09-12
Cancer Risk,Channelview [R] POC 2,48-201-0026,Harris,pollutant,"1,3-Butadiene",Cancer,2023,2023-01-01,2023-12-31,3.275,mean ÷ screening level,0.13915,0.04249,6539.0,,0.74646,*,,,,2026-09-12
Cancer Risk,Channelview [R] POC 2,48-201-0026,Harris,pollutant,"1,3-Butadiene",Cancer,2024,2024-01-01,2024-12-31,7.5325,mean ÷ screening level,0.32006,0.04249,6906.0,,0.7862,,,,,2026-09-12
Cancer Risk,Channelview [R] POC 2,48-201-0026,Harris,pollutant,"1,3-Butadiene",Cancer,2025,2025-01-01,2025-12-31,5.9808,mean ÷ screening level,0.25412,0.04249,6999.0,,0.79897,,,,,2026-09-12
Cancer Risk,Channelview [R] POC 2,48-201-0026,Harris,pollutant,"1,3-Butadiene",Cancer,2026 YTD,2026-01-01,2026-09-12,2.7219,mean ÷ screening level,0.11565,0.04249,4852.0,,0.79281,,,,,2026-09-12
Cancer Risk,Channelview [R] POC 2,48-201-0026,Harris,pollutant,"1,3-Butadiene",Cancer,Last 365 Days,2025-09-12,2026-09-12,2.7033,mean ÷ screening level,0.11487,0.04249,7053.0,,0.80294,,,,,2026-09-12
Cancer Risk,Channelview [R] POC 2,48-201-0026,Harris,pollutant,"1,3-Butadiene",Cancer,Sep 2026,2026-09-01,2026-09-30,0.1543,mean of weekly means ÷ screening level,0.00656,0.04249,151.0,1.0,0.89881,,,,,2026-09-12
Cancer Risk,Channelview [R] POC 2,48-201-0026,Harris,pollutant,Benzene,Cancer,2023,2023-01-01,2023-12-31,3.5719,mean ÷ screening level,0.40251,0.11269,6582.0,,0.75137,,,,,2026-09-12
Cancer Risk,Channelview [R] POC 2,48-201-0026,Harris,pollutant,Benzene,Cancer,2024,2024-01-01,2024-12-31,4.112,mean ÷ screening level,0.46337,0.11269,6949.0,,0.7911,,,,,2026-09-12
Cancer Risk,Channelview [R] POC 2,48-201-0026,Harris,pollutant,Benzene,Cancer,2025,2025-01-01,2025-12-31,3.6573,mean ÷ screening level,0.41213,0.11269,7077.0,,0.80788,,,,,2026-09-12
Cancer Risk,Channelview [R] POC 2,48-201-0026,Harris,pollutant,Benzene,Cancer,2026 YTD,2026-01-01,2026-09-12,3.1095,mean ÷ screening level,0.3504,0.11269,4917.0,,0.80343,,,,,2026-09-12
Cancer Risk,Channelview [R] POC 2,48-201-0026,Harris,pollutant,Benzene,Cancer,Last 365 Days,2025-09-12,2026-09-12,3.3404,mean ÷ screening level,0.37642,0.11269,7173.0,,0.8166,,,,,2026-09-12
Cancer Risk,Channelview [R] POC 2,48-201-0026,Harris,pollutant,Benzene,Cancer,Sep 2026,2026-09-01,2026-09-30,5.1799,mean of weekly means ÷ screening level,0.58371,0.11269,151.0,1.0,0.89881,,,,,2026-09-12
Cancer Risk,Channelview [R] POC 2,48-201-0026,Harris,total,Total (Combined),,2023,2023-01-01,2023-12-31,6.8468,sum of pollutant ratios,,,,,0.74646,*,,,,2026-09-12
Cancer Risk,Channelview [R] POC 2,48-201-0026,Harris,total,Total (Combined),,2024,2024-01-01,2024-12-31,11.6445,sum of pollutant ratios,,,,,0.7862,,,,,2026-09-12
Cancer Risk,Channelview [R] POC 2,48-201-0026,Harris,total,Total (Combined),,2025,2025-01-01,2025-12-31,9.6381,sum of pollutant ratios,,,,,0.79897,,,,,2026-09-12
